date,close,volume,open,high,low
23/05/2016,50.03,26110160,50.6,50.68,49.98
24/05/2016,51.59,34726410,50.7,51.71,50.4
25/05/2016,52.12,24176970,51.92,52.49,51.79
26/05/2016,51.89,24308620,51.93,51.9793,51.36
27/05/2016,52.32,17671620,51.92,52.32,51.77
31/05/2016,53,37461550,52.26,53,52.08
01/06/2016,52.85,25104350,52.44,52.95,52.44
02/06/2016,52.48,22682220,52.64,52.74,51.835
03/06/2016,51.79,23254530,52.38,52.42,51.6
06/06/2016,52.13,18137760,51.99,52.35,51.89
07/06/2016,52.1,20798030,52.24,52.73,52.1
08/06/2016,52.04,21127190,52.02,52.44,51.87
09/06/2016,51.62,20303990,52,52,51.49
10/06/2016,51.48,25833020,51.05,52.05,51.04
13/06/2016,50.14,83206230,49.58,50.715,49.06
14/06/2016,49.83,42568290,49.9,50.1,49.57
15/06/2016,49.69,33718830,49.78,50.12,49.69
16/06/2016,50.39,31104460,49.52,50.47,49.5068
17/06/2016,50.13,45675100,50.41,50.43,49.82
20/06/2016,50.07,35597220,50.64,50.83,50.03
21/06/2016,51.19,34075570,50.2,51.43,50.16
22/06/2016,50.99,28801660,51.08,51.46,50.9525
23/06/2016,51.91,28960330,51.28,52.06,51.15
24/06/2016,49.83,133456500,49.81,50.94,49.52
27/06/2016,48.43,50308070,49.1,49.1466,48.035
28/06/2016,49.44,38132040,48.92,49.47,48.67
29/06/2016,50.54,31287260,49.91,50.72,49.8
30/06/2016,51.17,28524020,50.72,51.3,50.5
01/07/2016,51.16,21398770,51.13,51.72,51.07
05/07/2016,51.17,24781550,50.83,51.28,50.74
06/07/2016,51.38,28165990,50.78,51.54,50.39
07/07/2016,51.38,19582210,51.42,51.61,51.07
08/07/2016,52.3,28390820,51.73,52.36,51.55
11/07/2016,52.59,21894550,52.5,52.83,52.47
12/07/2016,53.21,27312600,52.94,53.4,52.785
13/07/2016,53.51,25334860,53.56,53.86,53.18
14/07/2016,53.74,24535370,53.84,53.99,53.58
15/07/2016,53.7,31986450,53.95,54,53.21
18/07/2016,53.96,31087650,53.7,54.34,53.55
19/07/2016,53.09,51870970,53.71,53.9,52.93
20/07/2016,55.91,89835200,56.15,56.84,55.53
21/07/2016,55.8,32752350,55.98,56.23,55.76
22/07/2016,56.57,31900840,56.08,56.6275,55.78
25/07/2016,56.73,24313330,56.47,56.74,56.255
26/07/2016,56.76,28028820,56.52,57.29,56.51
27/07/2016,56.19,32283520,56.61,56.8,56.11
28/07/2016,56.21,37246140,56,56.37,55.72
29/07/2016,56.68,30556950,56.26,56.76,56.05
01/08/2016,56.58,26003110,56.6,56.75,56.14
02/08/2016,56.58,35115250,56.85,56.9,56.31
03/08/2016,56.97,22069790,56.68,57.11,56.49
04/08/2016,57.39,26485600,56.8,57.5193,56.67
05/08/2016,57.96,28804780,57.65,58.21,57.45
08/08/2016,58.06,19459340,58.055,58.085,57.78
09/08/2016,58.2,16891750,58.17,58.5,58.02
10/08/2016,58.02,15702720,58.16,58.32,57.82
11/08/2016,58.3,18161190,58.03,58.45,58.03
12/08/2016,57.94,21646690,58.03,58.19,57.62
15/08/2016,58.12,18764820,58.01,58.5,57.96
16/08/2016,57.44,20452960,57.61,57.62,57.27
17/08/2016,57.56,18798940,57.54,57.68,57.23
18/08/2016,57.6,14211810,57.42,57.7,57.27
19/08/2016,57.62,17271010,57.43,57.73,57.2
22/08/2016,57.67,15215880,57.6,57.75,57.26
23/08/2016,57.89,18722560,57.9,58.18,57.85
24/08/2016,57.95,17118420,57.8,58.04,57.715
25/08/2016,58.17,18551890,57.88,58.29,57.78
26/08/2016,58.03,20935160,58.28,58.7,57.69
29/08/2016,58.1,16388470,58.18,58.6,58.1
30/08/2016,57.89,16900190,57.98,58.19,57.61
31/08/2016,57.46,20844280,57.65,57.8,57.3
